paises;CO2_TotalesMt;CO2kg_1000S;CO2t_per_capita;Var;enlace
España;231,914;0,13;4,99;9,18%;/energia-y-medio-ambiente/emisiones-co2/espana?anio=2021
Alemania;665,884;0,15;8,06;5,78%;/energia-y-medio-ambiente/emisiones-co2/alemania?anio=2021
Reino Unido;335,363;0,11;4,95;4,59%;/energia-y-medio-ambiente/emisiones-co2/uk?anio=2021
Francia;302,327;0,10;4,58;7,88%;/energia-y-medio-ambiente/emisiones-co2/francia?anio=2021
Italia;319,669;0,13;5,41;8,38%;/energia-y-medio-ambiente/emisiones-co2/italia?anio=2021
Portugal;38,677;0,11;3,80;-1,94%;/energia-y-medio-ambiente/emisiones-co2/portugal?anio=2021
Estados Unidos;4.752,079;0,23;14,24;5,70%;/energia-y-medio-ambiente/emisiones-co2/usa?anio=2021
Japón;1.084,691;0,21;8,60;3,14%;/energia-y-medio-ambiente/emisiones-co2/japon?anio=2021
China;12.466,316;0,50;8,73;4,05%;/energia-y-medio-ambiente/emisiones-co2/china?anio=2021
Emiratos Árabes Unidos;193,507;0,30;19,47;0,93%;/energia-y-medio-ambiente/emisiones-co2/emiratos-arabes-unidos?anio=2021
Afganistán;8,348;0,11;0,21;-0,25%;/energia-y-medio-ambiente/emisiones-co2/afganistan?anio=2021
Antigua y Barbuda;0,778;0,44;7,34;10,39%;/energia-y-medio-ambiente/emisiones-co2/antigua-barbuda?anio=2021
Albania;4,591;0,11;1,56;-2,53%;/energia-y-medio-ambiente/emisiones-co2/albania?anio=2021
Armenia;6,770;0,17;2,30;6,11%;/energia-y-medio-ambiente/emisiones-co2/armenia?anio=2021
Angola;24,450;0,12;0,72;2,71%;/energia-y-medio-ambiente/emisiones-co2/angola?anio=2021
Argentina;189,002;0,19;4,12;9,01%;/energia-y-medio-ambiente/emisiones-co2/argentina?anio=2021
Austria;66,008;0,14;7,50;4,02%;/energia-y-medio-ambiente/emisiones-co2/austria?anio=2021
Australia;367,907;0,29;14,31;-3,51%;/energia-y-medio-ambiente/emisiones-co2/australia?anio=2021
Azerbaiyán;37,105;0,25;3,65;2,32%;/energia-y-medio-ambiente/emisiones-co2/azerbaiyan?anio=2021
Bosnia y Herzegovina;15,370;0,30;4,40;-31,73%;/energia-y-medio-ambiente/emisiones-co2/bosnia-herzegovina?anio=2021
Barbados;1,765;0,45;6,13;10,77%;/energia-y-medio-ambiente/emisiones-co2/barbados?anio=2021
Bangladés;106,867;0,11;0,62;1,58%;/energia-y-medio-ambiente/emisiones-co2/banglades?anio=2021
Bélgica;95,924;0,16;8,22;5,30%;/energia-y-medio-ambiente/emisiones-co2/belgica?anio=2021
Burkina Faso;5,290;0,11;0,25;3,92%;/energia-y-medio-ambiente/emisiones-co2/burkina-faso?anio=2021
Bulgaria;43,644;0,27;6,33;16,29%;/energia-y-medio-ambiente/emisiones-co2/bulgaria?anio=2021
Baréin;37,495;0,52;21,50;0,09%;/energia-y-medio-ambiente/emisiones-co2/barein?anio=2021
Burundi;0,710;0,08;0,06;3,32%;/energia-y-medio-ambiente/emisiones-co2/burundi?anio=2021
Benín;8,629;0,20;0,69;4,68%;/energia-y-medio-ambiente/emisiones-co2/benin?anio=2021
Brunéi;7,208;0,27;16,05;-0,91%;/energia-y-medio-ambiente/emisiones-co2/brunei?anio=2021
Bolivia;22,428;0,23;1,92;9,19%;/energia-y-medio-ambiente/emisiones-co2/bolivia?anio=2021
Brasil;489,858;0,16;2,28;10,26%;/energia-y-medio-ambiente/emisiones-co2/brasil?anio=2021
Bahamas;4,043;0,33;9,86;10,50%;/energia-y-medio-ambiente/emisiones-co2/bahamas?anio=2021
Bután;1,976;0,25;2,34;10,11%;/energia-y-medio-ambiente/emisiones-co2/butan?anio=2021
Botsuana;7,000;0,18;2,85;2,64%;/energia-y-medio-ambiente/emisiones-co2/botsuana?anio=2021
Bielorrusia;58,364;0,32;6,21;2,43%;/energia-y-medio-ambiente/emisiones-co2/bielorrusia?anio=2021
Belice;0,635;0,25;1,57;11,77%;/energia-y-medio-ambiente/emisiones-co2/belice?anio=2021
Canadá;563,538;0,31;14,86;1,88%;/energia-y-medio-ambiente/emisiones-co2/canada?anio=2021
República Democrática del Congo;3,369;0,03;0,04;1,34%;/energia-y-medio-ambiente/emisiones-co2/republica-democratica-congo?anio=2021
República Centroafricana;0,276;0,06;0,05;4,63%;/energia-y-medio-ambiente/emisiones-co2/republica-centroafricana?anio=2021
República del Congo;7,371;0,40;1,26;-3,62%;/energia-y-medio-ambiente/emisiones-co2/congo?anio=2021
Suiza;35,073;0,06;4,02;1,76%;/energia-y-medio-ambiente/emisiones-co2/suiza?anio=2021
Costa de Marfil;14,544;0,10;0,54;3,99%;/energia-y-medio-ambiente/emisiones-co2/costa-marfil?anio=2021
Chile;85,703;0,17;4,61;1,91%;/energia-y-medio-ambiente/emisiones-co2/chile?anio=2021
Camerún;10,203;0,10;0,38;1,48%;/energia-y-medio-ambiente/emisiones-co2/camerun?anio=2021
Colombia;77,570;0,10;1,53;5,46%;/energia-y-medio-ambiente/emisiones-co2/colombia?anio=2021
Costa Rica;8,091;0,07;1,59;10,59%;/energia-y-medio-ambiente/emisiones-co2/costa-rica?anio=2021
